Peak,chr,start,end,FDR,Genes,Genes_n,Module
chr11:56991538-56992038,chr11,56991538,56992038,4.14501E-09,LRRC55,1,plum3
chr15:98522896-98523396,chr15,98522896,98523396,4.32321E-09,ARRDC4,1,plum3
chr20:51705201-51705701,chr20,51705201,51705701,4.53111E-09,TSHZ2,1,plum3
chr20:32062311-32062811,chr20,32062311,32062811,5.01509E-09,CDK5RAP1,1,plum3
chr20:32521227-32521727,chr20,32521227,32521727,5.15443E-09,SNTA1,1,plum3
chr20:2194075-2194575,chr20,2194075,2194575,5.24304E-09,"NOP56, IDH3B",2,plum3
chr12:52938174-52938674,chr12,52938174,52938674,5.42273E-09,KRT5,1,plum3
chr1:53343145-53343645,chr1,53343145,53343645,5.44128E-09,ZYG11A,1,plum3
chr7:34038099-34038599,chr7,34038099,34038599,5.55259E-09,BMPER,1,plum3
chr7:149051086-149051586,chr7,149051086,149051586,5.70991E-09,ZNF425,1,plum3
chr20:52474266-52474766,chr20,52474266,52474766,5.7624E-09,ZNF217,1,plum3
chr21:33971239-33971739,chr21,33971239,33971739,5.79979E-09,EVA1C,1,plum3
chr3:27764652-27765152,chr3,27764652,27765152,6.04868E-09,EOMES,1,plum3
chr13:31506563-31507063,chr13,31506563,31507063,6.19477E-09,"TEX26, TEX26-AS1",2,plum3
chr1:154669148-154669648,chr1,154669148,154669648,6.3303E-09,"HAX1, FLAD1",2,plum3
chr12:25801334-25801834,chr12,25801334,25801834,6.37048E-09,LMNTD1,1,plum3
chr19:5586003-5586503,chr19,5586003,5586503,6.37616E-09,"SAFB2, NDUFA11",2,plum3
chr18:24733660-24734160,chr18,24733660,24734160,6.51891E-09,CHST9,1,plum3
chr5:177853267-177853767,chr5,177853267,177853767,6.5746E-09,"NHP2, ZNF354A",2,plum3
chr20:59954528-59955028,chr20,59954528,59955028,7.0583E-09,CDH4,1,plum3
chr6:148595899-148596399,chr6,148595899,148596399,7.09752E-09,SASH1,1,plum3
chr3:46615596-46616096,chr3,46615596,46616096,7.19987E-09,TDGF1,1,plum3
chr11:131174859-131175359,chr11,131174859,131175359,7.2372E-09,LOC103611081,1,plum3
chr17:1080321-1080821,chr17,1080321,1080821,7.52852E-09,PITPNA-AS1,1,plum3
chr13:41078435-41078935,chr13,41078435,41078935,7.59546E-09,FOXO1,1,plum3
chr8:80525268-80525768,chr8,80525268,80525768,1.50172E-24,STMN2,1,sienna4
chr8:80523108-80523608,chr8,80523108,80523608,4.30998E-24,STMN2,1,sienna4
chr8:80524026-80524526,chr8,80524026,80524526,5.02722E-23,STMN2,1,sienna4
chr8:73449285-73449785,chr8,73449285,73449785,4.74868E-21,KCNB2,1,sienna4
chr10:1595319-1595819,chr10,1595319,1595819,1.50797E-19,WDR37,1,sienna4
chr9:20805720-20806220,chr9,20805720,20806220,2.93275E-19,"MLLT3, FOCAD",2,sienna4
chr18:55020689-55021189,chr18,55020689,55021189,4.41245E-19,ST8SIA3,1,sienna4
chr20:9819384-9819884,chr20,9819384,9819884,5.37049E-19,PAK5,1,sienna4
chr1:181454257-181454757,chr1,181454257,181454757,6.55605E-19,CACNA1E,1,sienna4
chr1:58715922-58716422,chr1,58715922,58716422,2.40452E-18,DAB1,1,sienna4
chr1:57889503-57890003,chr1,57889503,57890003,2.45893E-18,DAB1,1,sienna4
chr15:92936805-92937305,chr15,92936805,92937305,2.50053E-18,ST8SIA2,1,sienna4
chr10:105036608-105037108,chr10,105036608,105037108,3.69846E-18,INA,1,sienna4
chr2:131485035-131485535,chr2,131485035,131485535,4.3712E-18,"AMER3, FAM168B",2,sienna4
chr20:9818835-9819335,chr20,9818835,9819335,7.45474E-18,"LAMP5, PAK5, ANKEF1, SNAP25, SNAP25-AS1",5,sienna4
chr3:133614454-133614954,chr3,133614454,133614954,9.77433E-18,RAB6B,1,sienna4
chr8:9791117-9791617,chr8,9791117,9791617,1.31365E-17,LINC00599,1,sienna4
chr22:35393827-35394327,chr22,35393827,35394327,1.58272E-17,ISX-AS1,1,sienna4
chr8:9759627-9760127,chr8,9759627,9760127,2.26601E-17,LINC00599,1,sienna4
chr1:18884025-18884525,chr1,18884025,18884525,2.30595E-17,IGSF21,1,sienna4
chr11:18813135-18813635,chr11,18813135,18813635,3.80272E-17,PTPN5,1,sienna4
chr2:131493987-131494487,chr2,131493987,131494487,4.32955E-17,AMER3,1,sienna4
chr11:45307655-45308155,chr11,45307655,45308155,4.49434E-17,SYT13,1,sienna4
chr12:129637289-129637789,chr12,129637289,129637789,5.30925E-17,GLT1D1,1,sienna4
chr10:82116420-82116920,chr10,82116420,82116920,6.88164E-17,DYDC1,1,sienna4
chr2:2336777-2337277,chr2,2336777,2337277,8.72951E-17,MYT1L,1,sienna4
chr1:159142717-159143217,chr1,159142717,159143217,9.36147E-17,"CADM3, ACKR1",2,sienna4
chr3:51730996-51731496,chr3,51730996,51731496,1.04653E-16,GRM2,1,sienna4
chr3:120626729-120627229,chr3,120626729,120627229,1.17086E-16,STXBP5L,1,sienna4
chr12:119446516-119447016,chr12,119446516,119447016,1.20367E-16,SRRM4,1,sienna4
chr12:119212159-119212659,chr12,119212159,119212659,1.27308E-16,SRRM4,1,sienna4
chr1:18710929-18711429,chr1,18710929,18711429,1.33721E-16,IGSF21,1,sienna4
chr10:90132026-90132526,chr10,90132026,90132526,1.35817E-16,LIPJ,1,sienna4
chr3:122920412-122920912,chr3,122920412,122920912,1.82188E-16,SEC22A,1,sienna4
chr10:105038511-105039011,chr10,105038511,105039011,1.8276E-16,"INA, NEURL1",2,sienna4
chr6:80340710-80341210,chr6,80340710,80341210,1.86811E-16,SH3BGRL2,1,sienna4
chr11:45306878-45307378,chr11,45306878,45307378,2.08909E-16,"PRDM11, SYT13",2,sienna4
chr18:6729441-6729941,chr18,6729441,6729941,6.90227E-16,ARHGAP28,1,sienna4
chr3:128564465-128564965,chr3,128564465,128564965,6.93347E-16,MIR12124,1,sienna4
chr10:81741251-81741751,chr10,81741251,81741751,7.60071E-16,"SFTPD, DYDC2, PRXL2A",3,sienna4
chr1:159177489-159177989,chr1,159177489,159177989,7.67702E-16,"CADM3, ACKR1",2,sienna4
chr12:119520214-119520714,chr12,119520214,119520714,8.63975E-16,SRRM4,1,sienna4
chrX:37544585-37545085,chrX,37544585,37545085,9.00102E-16,XK,1,sienna4
chr15:26766889-26767389,chr15,26766889,26767389,1.01447E-15,GABRB3,1,sienna4
chr15:26766238-26766738,chr15,26766238,26766738,1.058E-15,GABRB3,1,sienna4
chr4:38086952-38087452,chr4,38086952,38087452,1.11211E-15,TBC1D1,1,sienna4
chr5:6902629-6903129,chr5,6902629,6903129,1.1511E-15,UBE2QL1,1,sienna4
chr9:23567686-23568186,chr9,23567686,23568186,1.15434E-15,ELAVL2,1,sienna4
chr19:23654020-23654520,chr19,23654020,23654520,1.23646E-15,LINC01224,1,sienna4
chr12:129629843-129630343,chr12,129629843,129630343,1.2458E-15,GLT1D1,1,sienna4
chr8:33455289-33455789,chr8,33455289,33455789,1.24609E-15,DUSP26,1,sienna4
chr15:26817728-26818228,chr15,26817728,26818228,1.34529E-15,GABRB3,1,sienna4
chr10:128003934-128004434,chr10,128003934,128004434,1.36611E-15,UROS,1,sienna4
chr5:110559682-110560182,chr5,110559682,110560182,1.90389E-15,CAMK4,1,sienna4
chr4:42154027-42154527,chr4,42154027,42154527,2.40856E-15,BEND4,1,sienna4
chr2:86564552-86565052,chr2,86564552,86565052,2.41503E-15,REEP1,1,sienna4
chr3:53739815-53740315,chr3,53739815,53740315,2.50259E-15,"TKT, CACNA1D, ACTR8",3,sienna4
chr4:91156036-91156536,chr4,91156036,91156536,2.73721E-15,CCSER1,1,sienna4
chr5:95768668-95769168,chr5,95768668,95769168,2.8573E-15,PCSK1,1,sienna4
chr11:8103778-8104278,chr11,8103778,8104278,2.89668E-15,TUB,1,sienna4
chr6:101849679-101850179,chr6,101849679,101850179,3.02606E-15,GRIK2,1,sienna4
chr5:75378894-75379394,chr5,75378894,75379394,3.17485E-15,SV2C,1,sienna4
chr10:1462962-1463462,chr10,1462962,1463462,3.31959E-15,"ADARB2, LARP4B, IDI1, WDR37",4,sienna4
chr12:2344292-2344792,chr12,2344292,2344792,3.46719E-15,CACNA1C,1,sienna4
chr10:1642770-1643270,chr10,1642770,1643270,3.53205E-15,ADARB2-AS1,1,sienna4
chr1:230561934-230562434,chr1,230561934,230562434,3.60936E-15,PGBD5,1,sienna4
chr6:12749194-12749694,chr6,12749194,12749694,4.12138E-15,PHACTR1,1,sienna4
chr12:79292184-79292684,chr12,79292184,79292684,4.6152E-15,SYT1,1,sienna4
chrX:37447944-37448444,chrX,37447944,37448444,4.68109E-15,XK,1,sienna4
chr1:26348033-26348533,chr1,26348033,26348533,4.96209E-15,EXTL1,1,sienna4
chr9:23412354-23412854,chr9,23412354,23412854,5.28551E-15,ELAVL2,1,sienna4
chr10:71406040-71406540,chr10,71406040,71406540,6.42256E-15,FAM241B,1,sienna4
chr3:12838307-12838807,chr3,12838307,12838807,7.2673E-15,"TSEN2, CAND2",2,sienna4
chr4:75860093-75860593,chr4,75860093,75860593,7.36214E-15,BTC,1,sienna4
chr1:110713597-110714097,chr1,110713597,110714097,8.00511E-15,STRIP1,1,sienna4
chr1:77265343-77265843,chr1,77265343,77265843,8.26618E-15,ST6GALNAC5,1,sienna4
chr1:53392730-53393230,chr1,53392730,53393230,9.06258E-15,SCP2,1,sienna4
chr20:43438192-43438692,chr20,43438192,43438692,9.24509E-15,RIMS4,1,sienna4
chr8:80333428-80333928,chr8,80333428,80333928,1.11289E-14,STMN2,1,sienna4
chr9:23938704-23939204,chr9,23938704,23939204,1.18836E-14,ELAVL2,1,sienna4
chr11:72385231-72385731,chr11,72385231,72385731,1.3377E-14,PDE2A,1,sienna4
chr9:23831055-23831555,chr9,23831055,23831555,1.35345E-14,ELAVL2,1,sienna4
chr3:32858639-32859139,chr3,32858639,32859139,1.46717E-14,TRIM71,1,sienna4
chr3:123679985-123680485,chr3,123679985,123680485,1.6588E-14,CCDC14,1,sienna4
chr1:18435491-18435991,chr1,18435491,18435991,2.41326E-14,IGSF21,1,sienna4
chr15:91714509-91715009,chr15,91714509,91715009,2.47473E-14,SV2B,1,sienna4
chr20:43438983-43439483,chr20,43438983,43439483,2.90765E-14,RIMS4,1,sienna4
chr6:12769736-12770236,chr6,12769736,12770236,3.0039E-14,PHACTR1,1,sienna4
chr1:18551742-18552242,chr1,18551742,18552242,3.1927E-14,IGSF21,1,sienna4
chr1:98510870-98511370,chr1,98510870,98511370,3.86087E-14,MIR2682,1,sienna4
chr3:71778129-71778629,chr3,71778129,71778629,3.8892E-14,EIF4E3,1,sienna4
chr2:86562908-86563408,chr2,86562908,86563408,3.93272E-14,REEP1,1,sienna4
chr3:16528904-16529404,chr3,16528904,16529404,4.12624E-14,PLCL2,1,sienna4
chrX:101381861-101382361,chrX,101381861,101382361,4.13577E-14,"TCEAL2, BEX5, ARMCX5-GPRASP2",3,sienna4
chr2:2190790-2191290,chr2,2190790,2191290,4.7436E-14,MYT1L,1,sienna4
chr5:75380230-75380730,chr5,75380230,75380730,5.23978E-14,SV2C,1,sienna4
chr10:131506272-131506772,chr10,131506272,131506772,5.61237E-14,"MGMT, GLRX3",2,sienna4
chr3:62709222-62709722,chr3,62709222,62709722,5.76492E-14,"FEZF2, CADPS",2,sienna4
chr1:110752555-110753055,chr1,110752555,110753055,6.39907E-14,"KCNC4, LINC02586",2,sienna4
chr10:103325974-103326474,chr10,103325974,103326474,6.80564E-14,"BTRC, OGA",2,sienna4
chr5:20368663-20369163,chr5,20368663,20369163,7.15918E-14,CDH18,1,sienna4
chrX:101397250-101397750,chrX,101397250,101397750,8.06922E-14,TCEAL6,1,sienna4
chr16:12995038-12995538,chr16,12995038,12995538,8.38886E-14,SHISA9,1,sienna4
chr1:243645402-243645902,chr1,243645402,243645902,8.59678E-14,"AKT3, LINC02774",2,sienna4
chr1:98514783-98515283,chr1,98514783,98515283,9.26126E-14,"MIR137HG, LINC01776",2,sienna4
chr10:105041453-105041953,chr10,105041453,105041953,9.5672E-14,"NT5C2, INA, ATP5MD, NEURL1",4,sienna4
chr15:29668651-29669151,chr15,29668651,29669151,9.56954E-14,FAM189A1,1,sienna4
chrX:68723933-68724433,chrX,68723933,68724433,1.0102E-13,FAM155B,1,sienna4
chr9:101357024-101357524,chr9,101357024,101357524,1.01132E-13,GABBR2,1,sienna4
chr11:70508226-70508726,chr11,70508226,70508726,1.09966E-13,SHANK2,1,sienna4
chrX:56259420-56259920,chrX,56259420,56259920,1.24591E-13,KLF8,1,sienna4
chr12:118405894-118406394,chr12,118405894,118406394,1.24863E-13,KSR2,1,sienna4
chr9:19408580-19409080,chr9,19408580,19409080,1.33868E-13,ACER2,1,sienna4
chr11:70471951-70472451,chr11,70471951,70472451,1.41827E-13,SHANK2,1,sienna4
chr3:9550449-9550949,chr3,9550449,9550949,1.43985E-13,LHFPL4,1,sienna4
chr10:127156679-127157179,chr10,127156679,127157179,1.45384E-13,CTBP2,1,sienna4
chr10:3169214-3169714,chr10,3169214,3169714,1.45628E-13,PITRM1,1,sienna4
chr3:161090470-161090970,chr3,161090470,161090970,1.49921E-13,SPTSSB,1,sienna4
chr3:49902425-49902925,chr3,49902425,49902925,1.52357E-13,"BSN, IP6K1, CAMKV",3,sienna4
chr5:71402928-71403428,chr5,71402928,71403428,1.62643E-13,MAP1B,1,sienna4
chr11:116706534-116707034,chr11,116706534,116707034,2.13025E-13,APOA1-AS,1,sienna4
chr11:134146469-134146969,chr11,134146469,134146969,2.21643E-13,GLB1L3,1,sienna4
chr2:131484283-131484783,chr2,131484283,131484783,2.26333E-13,"AMER3, FAM168B",2,sienna4
chrX:56260080-56260580,chrX,56260080,56260580,2.43088E-13,"KLF8, UBQLN2",2,sienna4
chr6:34482364-34482864,chr6,34482364,34482864,2.56632E-13,PACSIN1,1,sienna4
chr16:49524952-49525452,chr16,49524952,49525452,2.58463E-13,ZNF423,1,sienna4
chr1:201438161-201438661,chr1,201438161,201438661,2.83537E-13,PHLDA3,1,sienna4
chr9:100069339-100069839,chr9,100069339,100069839,2.85056E-13,CCDC180,1,sienna4
chr12:4918190-4918690,chr12,4918190,4918690,2.9302E-13,KCNA6,1,sienna4
chr3:133611338-133611838,chr3,133611338,133611838,2.98827E-13,RAB6B,1,sienna4
chr10:121920567-121921067,chr10,121920567,121921067,3.14378E-13,LINC01561,1,sienna4
chr10:589077-589577,chr10,589077,589577,3.2051E-13,ZMYND11,1,sienna4
chr1:99729823-99730323,chr1,99729823,99730323,3.22466E-13,PLPPR4,1,sienna4
chr15:26539142-26539642,chr15,26539142,26539642,3.39373E-13,GABRB3,1,sienna4
chr8:33456168-33456668,chr8,33456168,33456668,3.40953E-13,DUSP26,1,sienna4
chr3:10670543-10671043,chr3,10670543,10671043,3.5189E-13,ATP2B2,1,sienna4
chr1:201007533-201008033,chr1,201007533,201008033,3.64027E-13,KIF21B,1,sienna4
chr3:9956717-9957217,chr3,9956717,9957217,3.86461E-13,CAMK1,1,sienna4
chr3:141205439-141205939,chr3,141205439,141205939,3.88787E-13,RASA2,1,sienna4
chr1:159111632-159112132,chr1,159111632,159112132,4.14877E-13,"CADM3, ACKR1",2,sienna4
chr1:200990108-200990608,chr1,200990108,200990608,4.35548E-13,KIF21B,1,sienna4
chr11:61638557-61639057,chr11,61638557,61639057,4.65912E-13,ASRGL1,1,sienna4
chr15:65203762-65204262,chr15,65203762,65204262,4.66179E-13,ANKDD1A,1,sienna4
chr6:96134724-96135224,chr6,96134724,96135224,4.72575E-13,FUT9,1,sienna4
chr14:96342326-96342826,chr14,96342326,96342826,4.80907E-13,TUNAR,1,sienna4
chr1:50489388-50489888,chr1,50489388,50489888,4.89528E-13,AGBL4,1,sienna4
chr18:34886996-34887496,chr18,34886996,34887496,4.9778E-13,CELF4,1,sienna4
chr15:84748679-84749179,chr15,84748679,84749179,5.21347E-13,EFL1P1,1,sienna4
chr1:159151352-159151852,chr1,159151352,159151852,5.33151E-13,"CADM3, ACKR1",2,sienna4
chr1:241586998-241587498,chr1,241586998,241587498,5.57176E-13,"RGS7, FH",2,sienna4
chr10:134896471-134896971,chr10,134896471,134896971,5.76791E-13,ADGRA1,1,sienna4
chr18:40857163-40857663,chr18,40857163,40857663,6.02648E-13,SYT4,1,sienna4
chr18:35147978-35148478,chr18,35147978,35148478,6.35451E-13,CELF4,1,sienna4
chr1:183338911-183339411,chr1,183338911,183339411,6.70672E-13,NMNAT2,1,sienna4
chr1:223514448-223514948,chr1,223514448,223514948,8.13549E-13,SUSD4,1,sienna4
chr12:2163291-2163791,chr12,2163291,2163791,8.13659E-13,CACNA1C,1,sienna4
chr1:18615089-18615589,chr1,18615089,18615589,8.23679E-13,IGSF21,1,sienna4
chr18:11752379-11752879,chr18,11752379,11752879,8.47103E-13,GNAL,1,sienna4
chr3:49906223-49906723,chr3,49906223,49906723,9.13867E-13,"IP6K1, CAMKV, HYAL3",3,sienna4
chr19:44763823-44764323,chr19,44763823,44764323,9.41582E-13,ZNF233,1,sienna4
chr3:53709849-53710349,chr3,53709849,53710349,1.13024E-12,"CACNA1D, ACTR8",2,sienna4
chr18:35023987-35024487,chr18,35023987,35024487,1.13702E-12,CELF4,1,sienna4
chr3:38496691-38497191,chr3,38496691,38497191,1.14703E-12,ACVR2B-AS1,1,sienna4
chr1:92495715-92496215,chr1,92495715,92496215,1.15527E-12,EPHX4,1,sienna4
chr11:45628018-45628518,chr11,45628018,45628518,1.18192E-12,SYT13,1,sienna4
chr10:12476247-12476747,chr10,12476247,12476747,1.35833E-12,CAMK1D,1,sienna4
chr3:49035699-49036199,chr3,49035699,49036199,1.41853E-12,USP19,1,sienna4
chr1:9883884-9884384,chr1,9883884,9884384,1.52704E-12,CLSTN1,1,sienna4
chr12:119417430-119417930,chr12,119417430,119417930,1.53298E-12,SRRM4,1,sienna4
chr2:79739665-79740165,chr2,79739665,79740165,1.55644E-12,CTNNA2,1,sienna4
chr11:134400703-134401203,chr11,134400703,134401203,1.57225E-12,GLB1L3,1,sienna4
chr1:47015257-47015757,chr1,47015257,47015757,1.58903E-12,PIK3R3,1,sienna4
chr2:202937711-202938211,chr2,202937711,202938211,1.65498E-12,KIAA2012,1,sienna4
chr10:108534774-108535274,chr10,108534774,108535274,1.66762E-12,SORCS1,1,sienna4
chrX:56258545-56259045,chrX,56258545,56259045,1.67975E-12,KLF8,1,sienna4
chr6:13026641-13027141,chr6,13026641,13027141,1.91495E-12,"PHACTR1, GFOD1",2,sienna4
chr11:113071695-113072195,chr11,113071695,113072195,1.96822E-12,NCAM1,1,sienna4
chr12:119280793-119281293,chr12,119280793,119281293,2.0418E-12,SRRM4,1,sienna4
chr6:24126143-24126643,chr6,24126143,24126643,2.06337E-12,NRSN1,1,sienna4
chr1:223092168-223092668,chr1,223092168,223092668,2.48261E-12,SUSD4,1,sienna4
chr3:53658271-53658771,chr3,53658271,53658771,2.60345E-12,ACTR8,1,sienna4
chr10:132900939-132901439,chr10,132900939,132901439,2.6343E-12,TCERG1L,1,sienna4
chr1:183337860-183338360,chr1,183337860,183338360,2.68719E-12,NMNAT2,1,sienna4
chr9:23554622-23555122,chr9,23554622,23555122,2.69459E-12,ELAVL2,1,sienna4
chr2:226264841-226265341,chr2,226264841,226265341,3.03185E-12,NYAP2,1,sienna4
chr15:73660638-73661138,chr15,73660638,73661138,3.09797E-12,HCN4,1,sienna4
chr8:9753819-9754319,chr8,9753819,9754319,3.31226E-12,LINC00599,1,sienna4
chr6:55039880-55040380,chr6,55039880,55040380,3.33924E-12,"HCRTR2, HMGCLL1",2,sienna4
chr3:54340450-54340950,chr3,54340450,54340950,3.33978E-12,IL17RB,1,sienna4
chr10:72457937-72458437,chr10,72457937,72458437,3.38822E-12,PPA1,1,sienna4
chr9:23738003-23738503,chr9,23738003,23738503,3.49091E-12,ELAVL2,1,sienna4
chr22:44258257-44258757,chr22,44258257,44258757,3.50621E-12,SULT4A1,1,sienna4
chr3:18393302-18393802,chr3,18393302,18393802,3.51647E-12,SATB1,1,sienna4
chr9:38423830-38424330,chr9,38423830,38424330,3.82293E-12,IGFBPL1,1,sienna4
chr15:29410020-29410520,chr15,29410020,29410520,4.42274E-12,APBA2,1,sienna4
chr9:4490130-4490630,chr9,4490130,4490630,4.50948E-12,SLC1A1,1,sienna4
chr1:78956388-78956888,chr1,78956388,78956888,4.5116E-12,PTGFR,1,sienna4
chr3:192090398-192090898,chr3,192090398,192090898,4.52043E-12,FGF12,1,sienna4
chr5:176310665-176311165,chr5,176310665,176311165,4.62287E-12,GPRIN1,1,sienna4
chr15:27019121-27019621,chr15,27019121,27019621,4.70696E-12,GABRB3,1,sienna4
chr3:126894096-126894596,chr3,126894096,126894596,4.83214E-12,PODXL2,1,sienna4
chr1:75139139-75139639,chr1,75139139,75139639,4.85249E-12,ERICH3,1,sienna4
chr3:53529690-53530190,chr3,53529690,53530190,5.32975E-12,"SFMBT1, TKT, CACNA1D, ACTR8",4,sienna4
chr11:123525118-123525618,chr11,123525118,123525618,5.34971E-12,SCN3B,1,sienna4
chr3:126889526-126890026,chr3,126889526,126890026,5.47103E-12,PODXL2,1,sienna4
chr5:58042095-58042595,chr5,58042095,58042595,5.54993E-12,RAB3C,1,sienna4
chr18:40859290-40859790,chr18,40859290,40859790,5.59999E-12,SYT4,1,sienna4
chr10:15264367-15264867,chr10,15264367,15264867,5.8105E-12,FAM171A1,1,sienna4
chr2:127963032-127963532,chr2,127963032,127963532,6.3967E-12,CYP27C1,1,sienna4
chr10:104178429-104178929,chr10,104178429,104178929,6.71852E-12,"FBXL15, PSD",2,sienna4
chr2:2335623-2336123,chr2,2335623,2336123,6.8844E-12,MYT1L,1,sienna4
chrX:132915153-132915653,chrX,132915153,132915653,6.97765E-12,GPC3,1,sienna4
chr15:27136538-27137038,chr15,27136538,27137038,7.38043E-12,"GABRB3, GABRA5, GABRG3",3,sienna4
chr18:35149188-35149688,chr18,35149188,35149688,7.42649E-12,CELF4,1,sienna4
chr11:45289161-45289661,chr11,45289161,45289661,7.4419E-12,SYT13,1,sienna4
chr4:104640938-104641438,chr4,104640938,104641438,7.44515E-12,TACR3,1,sienna4
chr6:158958078-158958578,chr6,158958078,158958578,8.12744E-12,"TULP4, TMEM181",2,sienna4
chr15:82339202-82339702,chr15,82339202,82339702,8.31137E-12,MEX3B,1,sienna4
chr3:141868152-141868652,chr3,141868152,141868652,8.47101E-12,TFDP2,1,sienna4
chr10:72647469-72647969,chr10,72647469,72647969,8.80013E-12,PCBD1,1,sienna4
chr1:92494707-92495207,chr1,92494707,92495207,8.89068E-12,EPHX4,1,sienna4
chr1:53793573-53794073,chr1,53793573,53794073,8.89779E-12,"LINC01771, LRP8",2,sienna4
chr9:121941164-121941664,chr9,121941164,121941664,9.29336E-12,BRINP1,1,sienna4
chr10:1510610-1511110,chr10,1510610,1511110,9.40385E-12,"IDI1, WDR37",2,sienna4
chr15:26487797-26488297,chr15,26487797,26488297,1.0029E-11,GABRB3,1,sienna4
chr3:49711145-49711645,chr3,49711145,49711645,1.0067E-11,APEH,1,sienna4
chr2:86563601-86564101,chr2,86563601,86564101,1.00943E-11,REEP1,1,sienna4
chr1:181459777-181460277,chr1,181459777,181460277,1.01659E-11,CACNA1E,1,sienna4
chr5:143815434-143815934,chr5,143815434,143815934,1.08443E-11,KCTD16,1,sienna4
chr1:41115166-41115666,chr1,41115166,41115666,1.08505E-11,RIMS3,1,sienna4
chr3:53123527-53124027,chr3,53123527,53124027,1.10332E-11,TKT,1,sienna4
chr10:86307538-86308038,chr10,86307538,86308038,1.10735E-11,GHITM,1,sienna4
chr11:70448267-70448767,chr11,70448267,70448767,1.1198E-11,"SHANK2-AS1, SHANK2",2,sienna4
chr21:33247935-33248435,chr21,33247935,33248435,1.15523E-11,HUNK,1,sienna4
chr10:99744037-99744537,chr10,99744037,99744537,1.18921E-11,ZFYVE27,1,sienna4
chr3:123751857-123752357,chr3,123751857,123752357,1.30711E-11,KALRN,1,sienna4
chr3:49905450-49905950,chr3,49905450,49905950,1.43666E-11,"BSN, CAMKV, HYAL3",3,sienna4
chrX:51361527-51362027,chrX,51361527,51362027,1.46681E-11,CENPVL3,1,sienna4
chr1:66999469-66999969,chr1,66999469,66999969,1.47961E-11,SGIP1,1,sienna4
chr22:32600851-32601351,chr22,32600851,32601351,1.48031E-11,"RFPL2, SLC5A4-AS1",2,sienna4
chr10:1600986-1601486,chr10,1600986,1601486,1.48711E-11,WDR37,1,sienna4
chr15:91771566-91772066,chr15,91771566,91772066,1.49679E-11,SV2B,1,sienna4
chr12:118421907-118422407,chr12,118421907,118422407,1.52421E-11,KSR2,1,sienna4
chr22:26625801-26626301,chr22,26625801,26626301,1.5858E-11,MIAT,1,sienna4
chr3:53708968-53709468,chr3,53708968,53709468,1.61566E-11,CACNA1D,1,sienna4
chr1:1914309-1914809,chr1,1914309,1914809,1.64934E-11,PRKCZ,1,sienna4
chr7:112723462-112723962,chr7,112723462,112723962,1.65043E-11,GPR85,1,sienna4
chr10:12573348-12573848,chr10,12573348,12573848,1.92564E-11,CAMK1D,1,sienna4
chr12:79312002-79312502,chr12,79312002,79312502,1.99558E-11,SYT1,1,sienna4
chr11:45772856-45773356,chr11,45772856,45773356,2.02733E-11,SYT13,1,sienna4
chr11:70732700-70733200,chr11,70732700,70733200,2.05486E-11,SHANK2,1,sienna4
chr15:26907319-26907819,chr15,26907319,26907819,2.178E-11,GABRB3,1,sienna4
chr3:59034342-59034842,chr3,59034342,59034842,2.37853E-11,C3orf67,1,sienna4
chrX:110647915-110648415,chrX,110647915,110648415,2.39822E-11,PAK3,1,sienna4
chr9:23747653-23748153,chr9,23747653,23748153,2.57918E-11,ELAVL2,1,sienna4
chr5:110721930-110722430,chr5,110721930,110722430,2.85993E-11,"CAMK4, NREP",2,sienna4
chr15:27315934-27316434,chr15,27315934,27316434,2.88302E-11,"GABRB3, GABRG3",2,sienna4
chr10:71520230-71520730,chr10,71520230,71520730,3.00174E-11,HK1,1,sienna4
chr15:26942954-26943454,chr15,26942954,26943454,3.04769E-11,GABRB3,1,sienna4
chr2:149634206-149634706,chr2,149634206,149634706,3.15891E-11,"KIF5C, LYPD6B",2,sienna4
chr10:103043814-103044314,chr10,103043814,103044314,3.2829E-11,BTRC,1,sienna4
chr1:181510496-181510996,chr1,181510496,181510996,3.3057E-11,CACNA1E,1,sienna4
chr18:46416158-46416658,chr18,46416158,46416658,3.35067E-11,CTIF,1,sienna4
chr3:16594753-16595253,chr3,16594753,16595253,3.43548E-11,PLCL2,1,sienna4
chr20:58637281-58637781,chr20,58637281,58637781,3.47754E-11,PHACTR3,1,sienna4
chr5:167956020-167956520,chr5,167956020,167956520,3.54135E-11,FBLL1,1,sienna4
chr15:91661959-91662459,chr15,91661959,91662459,3.69227E-11,SV2B,1,sienna4
chr3:50445885-50446385,chr3,50445885,50446385,3.75522E-11,"HYAL3, DOCK3",2,sienna4
chr3:24432287-24432787,chr3,24432287,24432787,3.87494E-11,RPL15,1,sienna4
chr1:35335336-35335836,chr1,35335336,35335836,3.90712E-11,DLGAP3,1,sienna4
chr18:35158794-35159294,chr18,35158794,35159294,4.01481E-11,CELF4,1,sienna4
chr3:51740716-51741216,chr3,51740716,51741216,4.04731E-11,GRM2,1,sienna4
chr3:50686731-50687231,chr3,50686731,50687231,4.28679E-11,"CACNA2D2, DOCK3",2,sienna4
chr19:42499985-42500485,chr19,42499985,42500485,4.32132E-11,"ATP1A3, GSK3A",2,sienna4
chr15:75123145-75123645,chr15,75123145,75123645,4.33265E-11,"UBL7, SCAMP5",2,sienna4
chr9:101469394-101469894,chr9,101469394,101469894,4.33756E-11,GABBR2,1,sienna4
